id,Categoria,Reportes
0,LIMPIEZA Y RECOLECCIÓN,96417
1,CALLES Y VEREDAS,17640
2,TRÁMITES Y SERVICIOS,6131
3,TRÁNSITO,103961
4,ARBOLADO Y ESPACIOS VERDES,14285
5,ALUMBRADO,7515
6,"CONTROL EDILICIO, OBRAS Y CATASTRO",3684
7,MEDIOS DE TRANSPORTE,5589
8,RECICLADO Y PROTECCIÓN AMBIENTAL,4128
9,ORDENAMIENTO DEL ESPACIO PÚBLICO,5919
10,SEGURIDAD,1661
11,FISCALIZACIÓN ACTIVIDADES COMERCIALES,4633
12,PLUVIALES,1317
13,SALUD Y SERVICIOS SOCIALES,496
14,DESARROLLO URBANO,1668
16,BARRIOS EMERGENTES,161
17,TERRENO BALDÍO,94
18,EDUCACION,14
19,LOTBA,1
