id,Mes,Valor,Canal
0,1,22823,App
1,1,21143,Web
2,1,2872,Otros
3,2,23562,App
4,2,18777,Web
5,2,4733,Otros
6,3,28775,App
7,3,24341,Web
8,3,8071,Otros
9,4,19652,App
10,4,19185,Web
11,4,4682,Otros
12,5,18906,App
13,5,18414,Web
14,5,4628,Otros
15,6,20045,App
16,6,17727,Web
17,6,7393,Otros
18,7,20210,App
19,7,17516,Web
20,7,6613,Otros
21,8,26184,App
22,8,19416,Web
23,8,11155,Otros
24,9,24644,App
25,9,17924,Web
26,9,12239,Otros
27,10,26088,App
28,10,17584,Web
29,10,9254,Otros
30,11,23752,App
31,11,18804,Web
32,11,11394,Otros
33,12,20715,App
34,12,17407,Web
35,12,12913,Otros
